column,note,question,subquestion,response_format
statement_115,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,rejection prevents embarrassment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_116,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,guilt causes lying,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_117,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,anger causes violence,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_118,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,laughter prevents jokes,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_119,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jealousy causes conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_120,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety causes injury,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_121,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,diseases cause symptoms,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_122,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cheerfulness prevents failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_123,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,dieting causes weight-loss,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_124,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,panic causes trembling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_125,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,heart-disease causes cholesterol,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_126,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,complements cause offense,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_127,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,panic prevents smoke,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_128,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,joy causes depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_129,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,admiration prevents complements,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_130,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,trembling causes panic,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_131,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,injury prevents safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_132,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,disgust causes arousal,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_133,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,praise prevents self-esteem,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_134,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,violence causes anger,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_135,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,death prevents grief,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_136,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety causes accidents,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_137,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,joy prevents depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_138,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,lying prevents guilt,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_139,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,brushing prevents toothaches,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_140,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,poverty causes jobs,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_141,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,loneliness prevents socializing,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_142,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,toothaches cause brushing,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_143,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,resentment causes divorce,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_144,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,certainty causes fear,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_145,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,loneliness prevents isolation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_146,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,fire causes damage,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_147,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,embarrassment causes rejection,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_148,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,poverty prevents jobs,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_149,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cheerfulness causes failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_150,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,homelessness causes poverty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_151,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smiling prevent happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_152,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,beauty prevents attraction,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_153,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,rejection causes embarrassment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_154,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,stress causes preparation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_155,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,anger prevents violence,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_156,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cancer causes cigarettes,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_157,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,friendliness causes jealousy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_158,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pollution causes cars,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_159,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict causes jealousy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_160,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,poverty causes homelessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_161,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-loss prevents overeating,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_162,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,harmony prevents conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_163,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,anger prevents intimacy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_164,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,uncertainty causes worry,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_165,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure prevents cheerfulness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_166,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-loss causes dieting,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_167,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cheerfulness causes depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_168,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,self-esteem causes praise,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_169,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jealousy causes friendliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_170,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,friendliness causes conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_171,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-gain causes dieting,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_172,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cigarettes prevent cancer,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_173,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,deodorant prevents smell,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_174,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,complements prevent offense,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_175,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict prevents agreement,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_176,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,embarrassment prevents rejection,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_177,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,overeating causes weight-loss,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_178,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,homelessness causes jobs,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_179,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pollution causes recycling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_180,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,complements prevent admiration,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_181,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,crying causes grief,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_182,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,heart-disease prevents cholesterol,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_183,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,laws cause crime,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_184,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,divorce causes resentment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_185,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness causes smiling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_186,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,overeating prevents weight-loss,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_187,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,friendliness prevents conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_188,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,laughter causes jokes,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_189,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,death causes grief,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_190,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,arousal prevents disgust,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_191,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pollution prevents cars,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_192,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,neglect causes sadness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_193,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,recycling prevents pollution,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_194,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cancer prevents death,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_195,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,damage prevents fire,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_196,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,neglect prevents sadness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_197,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,insults prevent offense,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_198,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,certainty causes worry,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_199,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,deodorant causes smell,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_200,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,recycling causes pollution,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_201,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sadness causes neglect,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_202,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,disgust prevents arousal,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_203,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,isolation causes loneliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_204,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,death causes cancer,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_205,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jealousy prevents conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_206,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict causes agreement,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_207,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness causes regret,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_208,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression prevents suicide,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_209,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness causes isolation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_210,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,agreement causes conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_211,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,dieting prevents weight-gain,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_212,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure prevents embarrassment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_213,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,suicide causes depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_214,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,stress prevents exams,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_215,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,panic causes smoke,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_216,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jealousy prevents friendliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_217,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression causes cheerfulness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_218,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,divorce prevents resentment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_219,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,resentment prevents divorce,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_220,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,socializing prevents loneliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_221,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,regret prevents happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_222,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,exercise causes heart-disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_223,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,guilt prevents lying,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_224,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,heart-disease prevents exercise,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_225,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,certainty prevents worry,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_226,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,heart-disease causes exercise,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_227,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jobs cause homelessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_228,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure causes embarrassment,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_229,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,fear causes certainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_230,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sleep prevents coffee,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_231,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smell causes deodorant,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_232,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grief causes crying,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_233,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,poverty prevents homelessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
